,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18,355955,Double room in an Authentic Peranakan Shophouse,1759905,Aresha,Central Region,Geylang,1.3142,103.90231999999999,Private room,81,90,0,,,1,173
23,481789,Master Bedroom in Newly Built Flat,2386154,Susan,East Region,Tampines,1.34816,103.93238000000001,Private room,37,180,0,,,1,365
26,642660,BEST CITY LIVING WITH GA RESIDENCE,3212572,Roger,Central Region,Rochor,1.3010899999999999,103.85234,Private room,167,180,0,,,1,365
29,733863,Homestay at Serangoon,3824517,Shirlnet,North-East Region,Serangoon,1.36743,103.87288000000001,Private room,26,180,0,,,1,365
36,768313,Common Room for rent immediate,4053150,Immellymel,North-East Region,Punggol,1.39963,103.9064,Private room,167,1,0,,,1,365
37,782227,"Cosy, bright, tasefully furnished",4125828,Jenny,Central Region,Queenstown,1.28342,103.78585,Private room,128,3,0,,,1,365
43,823571,Apartment away from town,4177147,Tania,East Region,Bedok,1.31313,103.91479,Private room,278,1,0,,,1,365
46,880846,1 bedrm Aptm by Farrer Park Mrt,4659563,Gin,Central Region,Kallang,1.3135700000000001,103.85731,Private room,100,365,0,,,1,365
82,1562453,Deluxe Quad-sharing room,8270362,Domus,Central Region,Novena,1.32359,103.8498,Private room,31,108,0,,,1,365
83,1581224,Life Impact Coaching,8408341,Gerard,Central Region,Kallang,1.31118,103.87366999999999,Entire home/apt,131,14,0,,,1,365
85,1611318,"Central Condo, reasonable price",8580110,Betty,Central Region,Bukit Merah,1.28419,103.82765,Private room,60,183,0,,,1,365
88,1643945,Private Bedroom from Semi-D,8725237,Soh,North-East Region,Ang Mo Kio,1.39088,103.85303,Private room,217,1,0,,,1,365
89,1646909,"Cozy room, convenient location",8739736,Serene,West Region,Bukit Batok,1.3412600000000001,103.75992,Private room,82,14,0,,,1,365
96,1710048,Fireworks view8! highrise Ensuite,8948251,Joey,Central Region,Outram,1.28556,103.84198,Private room,58,90,0,,,83,355
102,1795873,Common Room with Private Bathroom,9419577,Anuj,Central Region,Queenstown,1.30669,103.80043,Private room,40,183,0,,,1,88
105,1813277,Student Guardianship & Homestay,9497281,Skye,West Region,Choa Chu Kang,1.38717,103.74256,Private room,60,183,0,,,2,365
108,1838622,Beautifully renovated cosy room ,2999297,Jimmy,East Region,Bedok,1.3199299999999998,103.92342,Private room,90,2,0,,,2,365
119,2024941,Cosy Double room in a Terrace House,2999297,Jimmy,East Region,Bedok,1.3196299999999999,103.92399999999999,Private room,94,3,0,,,2,365
122,2033483,"★2+1condo next to MRT, mall & more★",9497281,Skye,West Region,Choa Chu Kang,1.38768,103.74476,Entire home/apt,118,10,0,,,2,294
139,2351979,Tribeca Robertson Quay (new 1br),11990154,Chelsea,Central Region,Singapore River,1.29041,103.83482,Entire home/apt,150,365,0,,,1,365
151,2450232,Nice attic room,12134297,Teng Yan,North Region,Central Water Catchment,1.35176,103.81967,Private room,500,1,0,,,1,365
157,2541029,LONG TERM LEASE Condo Common Room 1 No Owner,9544894,Vivian,Central Region,Kallang,1.32692,103.86459,Private room,40,90,0,,,1,349
163,2691621,"Sofa couch, near Orchard/Holland",581033,Nicholas,Central Region,Queenstown,1.3069899999999999,103.80159,Shared room,69,1,0,,,1,365
169,2851984,Room Rental just opposite MRT,14582974,Kah Lun,West Region,Choa Chu Kang,1.39834,103.74972,Private room,31,365,0,,,1,365
172,2890215,Bright Breezy Serviced Room,14772025,Xavier,North-East Region,Sengkang,1.3876899999999999,103.89361,Private room,25,180,0,,,2,365
174,2959811,Central and stylish pied-a-terre - 3 months min.,15067769,Dominique,Central Region,Orchard,1.30021,103.84288000000001,Private room,69,90,0,,,2,364
199,3349976,Private Room - min.6months,14297490,Flora,East Region,Pasir Ris,1.36449,103.95931,Private room,81,180,0,,,1,365
238,3927431,Sweet Place,15455737,Sufi,West Region,Bukit Batok,1.34779,103.7442,Private room,156,1,0,,,1,365
252,4013186,Cosy Room right in the City town.,20049904,Lenneth,Central Region,Outram,1.27641,103.84087,Private room,950,180,0,,,2,365
253,4017084,Masterbedroom for rent (Central),20785714,Yock Lian,Central Region,Outram,1.28223,103.83867,Private room,50,180,0,,,1,365
295,4451325,Be our guest,23094721,Lizzie,North-East Region,Sengkang,1.39042,103.90796,Private room,108,2,0,,,1,358
307,4530362,If you do not have a CAR...,22316022,Cheryl,Central Region,Outram,1.28272,103.84707,Private room,160,180,0,,,1,365
326,4640273,索美赛River Valley,24025713,莉,Central Region,River Valley,1.29887,103.83603000000001,Private room,146,1,0,,,1,365
335,4722005,Walking Distance to MRT,23994004,Orion,North Region,Sembawang,1.45328,103.82199,Private room,19,180,0,,,1,365
350,4899063,Singapore Student Homestay,25215454,Don,Central Region,Toa Payoh,1.33305,103.87235,Shared room,46,180,0,,,1,365
354,4926192,Common Room @ Boon Keng,25375339,ｼﾝ,Central Region,Kallang,1.31536,103.86045,Private room,150,1,0,,,9,364
398,5243402,Room with Mezzanine in Penthouse,10915406,Thomas,Central Region,Geylang,1.3153700000000002,103.88546,Private room,154,1,0,,,1,364
407,5283776,Long Term Room rental.,27355976,Jeremy,East Region,Tampines,1.35725,103.95348,Private room,650,1,0,,,1,365
411,5319766,Large Master Bedroom with ensuite ,27516195,Leanne,Central Region,Outram,1.28185,103.84657,Private room,160,365,0,,,1,363
424,5406502,Cozy clean room in a breezy condo ,28022338,Bill,East Region,Bedok,1.31097,103.93814,Private room,78,2,0,,,1,363
430,5436010,LUXE Series Executive Guest Room,26876731,Lynelle,North Region,Yishun,1.41482,103.83225999999999,Private room,60,7,0,,,3,364
439,5529062,600sqft New York Bachelor Suite. SG,28378691,Leon,Central Region,Bukit Merah,1.27549,103.8373,Entire home/apt,500,7,0,,,1,365
457,5667427,LUXE Series Premium Guest Room,26876731,Lynelle,North Region,Yishun,1.41594,103.83391,Private room,81,7,0,,,3,363
459,5704432,My Crib,28106320,Jeremy,Central Region,Toa Payoh,1.3356,103.86591999999999,Shared room,300,1,0,,,1,365
468,5819462,standard room with air conditioner,20712244,Huan,North-East Region,Sengkang,1.3877700000000002,103.89649,Shared room,121,2,0,,,1,88
480,5882204,Minimum 90 days rental,30542551,Allendgs,East Region,Bedok,1.3212,103.91483000000001,Private room,182,1,0,,,1,180
493,5924053,Ensuite Condo Room - Lakeside MRT,228867,Champ,West Region,Jurong West,1.34392,103.7187,Private room,81,4,0,,,7,364
500,6026527,3 mins walk to MRT Station - Private studio room,24496358,Katherine,East Region,Bedok,1.3201,103.91476,Private room,131,3,0,,,24,346
507,6079533,Master room 2 with a pool view,31557595,Jay,East Region,Pasir Ris,1.35894,103.96605,Private room,31,90,0,,,2,332
518,6147375,Common Room @ Reasonable Price,31212677,Shyam,North-East Region,Punggol,1.39866,103.90555,Private room,49,180,0,,,2,365
530,6253881,One bedroom w/ attached bathroom,27289700,Sukri,Central Region,Bishan,1.3561299999999998,103.84983000000001,Private room,106,1,0,,,2,362
544,6340605,Brand new studio apartment,33019244,Airena,Central Region,Novena,1.32526,103.84718000000001,Entire home/apt,100,365,0,,,1,365
562,6507877,観光や出張に最適な立地の落ち着いたｱﾊﾟｰﾄﾒﾝﾄ,34021900,Soku,Central Region,Downtown Core,1.29554,103.85428,Private room,197,1,0,,,1,363
566,6528691,Next to Botanical Gardens,34146820,David,Central Region,Tanglin,1.30908,103.81955,Private room,150,3,0,,,1,363
583,6663672,新加坡传统祖屋 客厅大 通风好,31721965,Feng,Central Region,Downtown Core,1.27914,103.85002,Private room,89,90,0,,,1,365
606,6825410,"Affordable HDB spacious Private Room, long term",34397948,Le & Aren,West Region,Bukit Batok,1.35955,103.75001999999999,Private room,181,1,0,,,1,364
622,6939552,Private Room near Temasek Poly & Airport,26768586,Cynthia,East Region,Tampines,1.34764,103.94037,Private room,200,1,0,,,1,365
646,7105265,shower wash basin in YOUR solo room 1970s unit,8948251,Joey,Central Region,Geylang,1.31417,103.88224,Private room,44,18,0,,,83,353
648,7117201,New Studio Apartment near to city,37284901,Niti,Central Region,Kallang,1.32647,103.86453,Entire home/apt,200,90,0,,,1,358
672,7227489,Not available,1119168,Sunny,Central Region,Tanglin,1.29407,103.8284,Private room,200,1,0,,,1,364
684,7280123,Super Master Studio Room @ Eunos MRT,15553995,Mrs Tan,Central Region,Geylang,1.31427,103.90594,Private room,69,5,0,,,8,85
688,7295353,Live with a local family in an old neighbourhood,23929369,Chester,North Region,Woodlands,1.44013,103.79117,Private room,190,2,0,,,1,363
723,7610379,Room For Short Term Rental,39328492,Siti,East Region,Bedok,1.32796,103.92311,Shared room,81,1,0,,,1,363
732,7654939,Central high rise bed/bathroom,6330894,Luqman,Central Region,Novena,1.32761,103.84858,Private room,219,1,0,,,1,365
786,7956917,Room with window view,31698573,Sohan,West Region,Jurong West,1.34352,103.71526999999999,Private room,40,200,0,,,1,180
805,8111607,Cozy studio room in Landed house(7),24496358,Katherine,East Region,Bedok,1.3174299999999999,103.91382,Private room,131,3,0,,,24,344
828,8180339,Studio The Sail@Marina Bay Sands,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.2804200000000001,103.85198000000001,Entire home/apt,119,60,0,,,41,365
842,8234618,1 bdrm The Sail@Marina Bay/Full bay,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.2818100000000001,103.85291,Entire home/apt,151,60,0,,,41,365
885,8488609,To stay MasterRoom in beach condo.,29977398,David,East Region,Pasir Ris,1.37932,103.9603,Private room,42,180,0,,,3,364
886,8492009,Affordable King-size Bedroom!,40345484,Ine,Central Region,Newton,1.3166200000000001,103.83582,Private room,119,1,0,,,3,230
898,8571567,Singapore Multi-unit building,45112161,Jian Hao,East Region,Tampines,1.3532899999999999,103.93195,Shared room,119,1,0,,,2,89
899,8577081,Cosy Room in Novena (Central Area),27680847,Ser,Central Region,Novena,1.32218,103.84192,Private room,99,120,0,,,1,365
919,8727077,Bed and Cereals.,45798265,Kuldip,North-East Region,Ang Mo Kio,1.39021,103.85452,Private room,278,1,0,,,1,365
950,8957363,Blk 210 Bukit Batok St 21,46815723,Jj,West Region,Bukit Batok,1.34589,103.74904000000001,Entire home/apt,81,180,0,,,1,180
956,9019945,1910s Conservation Shophouse @Bugis,45661681,Betty,Central Region,Downtown Core,1.2988899999999999,103.85566999999999,Entire home/apt,250,100,0,,,8,365
982,9204908,1910s 2bedroom Shophouse-loft@Bugis,45661681,Betty,Central Region,Downtown Core,1.29811,103.85691,Entire home/apt,250,100,0,,,8,365
983,9207480,Student homestay with teacher,47888110,Derrick,Central Region,Toa Payoh,1.33284,103.87767,Shared room,56,30,0,,,2,365
986,9239753,Fully Furnished Spacious 3 Bedroom in farrer park,32184450,Apollo,Central Region,Kallang,1.31669,103.85382,Entire home/apt,300,14,0,,,67,365
1002,9336010,Funky 2 Storey in Central Singapore,1619840,Kate,Central Region,Orchard,1.30406,103.83364,Entire home/apt,794,5,0,,,1,364
1016,9397355,Highrise heritage Doublebed Rm891,8948251,Joey,Central Region,Outram,1.2847,103.84404,Private room,49,90,0,,,83,365
1017,9398808,Tiong Bahru Experience,45955773,Jye,Central Region,Bukit Merah,1.28455,103.83312,Entire home/apt,300,30,0,,,1,365
1020,9416569,Stunning Marina Bay 1 Bdrm Premium,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.27999,103.85313000000001,Private room,131,60,0,,,41,364
1022,9417635,Decent Room near Amenities,39525377,Rathnah,North Region,Woodlands,1.43411,103.77708,Private room,19,180,0,,,1,240
1032,9480279,Happening Geylang,49139350,Aaron,Central Region,Geylang,1.30999,103.88591,Entire home/apt,178,190,0,,,1,365
1047,9565658,Big room - Chinatown,23611487,Ty,Central Region,Outram,1.28582,103.84274,Private room,200,1,0,,,1,365
1078,9739084,Private Family Room for 6,50158481,Dream Lodge,Central Region,Kallang,1.31206,103.86046,Private room,210,1,0,,,8,358
1079,9739843,Private room 1 min walk to MRT,2074218,Guo Feng,Central Region,Kallang,1.30813,103.86388000000001,Private room,49,90,0,,,1,180
1102,9875315,LUXURIOUSLY SPACIOUS MASTERSUITE,35065351,Perfect,North Region,Sembawang,1.44005,103.82372,Private room,90,7,0,,,2,365
1129,9981003,"3BR - Near MRT, Minutes to Town",51287592,Crystal,North-East Region,Serangoon,1.3441100000000001,103.88114,Entire home/apt,250,90,0,,,1,363
1156,10118046,Home away from home,22629601,Kong Keong Lawrence,North-East Region,Ang Mo Kio,1.37295,103.83352,Private room,212,2,0,,,1,177
1162,10210475,"Amazing Masterbed Room, mins to MRT",28809566,Property,North Region,Sembawang,1.44123,103.82224000000001,Private room,110,5,0,,,7,365
